SAMPLE_ID,식품명,식품상세분류,1회제공량,내용량_단위,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g),총당류(g),총 식이섬유(g),총 아미노산(mg),콜레스테롤(mg),총 포화 지방산(g),총 불포화지방산(g),트랜스 지방산(g),출처,발행기관
R000001-ZZ-AVG,"귀리, 겉귀리, 도정, 생것",곡류 및 그 제품,100,g,380,11.5,11.40,7.35,67.71,0.32,-,"10,499",0,1.14,4.85,0,농진청('16),국립농업과학원
R000002-ZZ-AVG,"귀리, 쌀귀리, 도정, 생것",곡류 및 그 제품,100,g,388,11.6,11.14,8.90,66.66,0.91,8.1,"10,561",0,1.45,6.79,0.01,농진청('20),국립농업과학원
R000003-ZZ-AVG,"귀리, 쌀귀리, 대양, 도정, 생것",곡류 및 그 제품,100,g,386,11.8,11.51,8.78,66.10,0.91,7.8,"10,947",0,1.37,6.76,0.01,농진청('20),국립농업과학원
R000004-ZZ-AVG,"귀리, 쌀귀리, 조양, 도정, 생것",곡류 및 그 제품,100,g,390,11.4,10.78,9.01,67.23,0.91,8.4,"10,174",0,1.53,6.81,0.01,농진청('20),국립농업과학원
R000005-ZZ-AVG,"귀리, 쌀귀리, 도정, 밥",곡류 및 그 제품,100,g,218,50.7,6.51,5.36,36.54,0.42,-,"6,390",0,0.86,3.98,0.01,농진청('20),국립농업과학원
R000006-ZZ-AVG,"귀리, 쌀귀리, 대양, 도정, 밥",곡류 및 그 제품,100,g,215,51.1,6.71,5.13,36.09,0.43,-,"6,869",0,0.77,3.79,0.01,농진청('20),국립농업과학원
R000007-ZZ-AVG,"귀리, 쌀귀리, 조양, 도정, 밥",곡류 및 그 제품,100,g,221,50.2,6.31,5.59,36.98,0.41,-,"5,911",0,0.94,4.17,0.01,농진청('20),국립농업과학원
R000008-ZZ-AVG,"귀리, 오트밀",곡류 및 그 제품,100,g,382,12.0,13.2,8.2,64.9,-,18.8,-,-,-,-,-,농진청('11),국립농업과학원
R000009-ZZ-AVG,"기장, 도정, 생것",곡류 및 그 제품,100,g,360,11.3,11.2,1.9,74.6,-,-,-,-,-,-,-,농진청('06),국립농업과학원
R000010-ZZ-AVG,"기장, 찰기장, 도정, 생것",곡류 및 그 제품,100,g,371,11.3,13.63,3.77,69.65,0.46,4.7,"11,176",0,0.51,2.88,0,농진청('19),국립농업과학원
