SAMPLE_ID,식품명,지역 / 제조사,채취시기,식품상세분류,1회제공량,내용량_단위,에너지(㎉),수분(g),단백질(g),지방(g),탄수화물(g),총 식이섬유(g),칼슘(㎎),총 아미노산(g),성분표출처,발행기관
N000001-ZZ-AVG,가다랑어,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000001-33-04,가다랑어,부산,4월,어류,100,g,-,-,24.3,-,-,-,-,23.9,수('2018),국립수산과학원
N000001-33-02,가다랑어,부산,2월,어류,100,g,127,70.3,25.9,1.8,0.3,0,15,-,수('2018),국립수산과학원
N000001-04-05,가다랑어,고성,5월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000002-33-11,가다랑어-간,부산,11월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000003-33-04,가다랑어-내장,부산,4월,어류,100,g,-,-,17.7,-,-,-,-,17.3,수('2018),국립수산과학원
N000004-70-06,가다랑어-레토르트식품(기름담금),"통영,알래스카산",6월,수산가공품,100,g,175,68.6,12.4,9.9,7.5,-,14,11.1,수('2018),국립수산과학원
N000005-70-06,가다랑어-레토르트식품(조미),"통영,알래스카산",6월,수산가공품,100,g,-,-,6.9,-,-,-,-,6.6,수('2018),국립수산과학원
N000006-33-11,가다랑어-보통육,부산,11월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000006-33-04,가다랑어-보통육,부산,4월,어류,100,g,-,-,27.7,-,-,-,-,27.1,수('2018),국립수산과학원
N000007-33-04,가다랑어-알,부산,4월,어류,100,g,-,-,26,-,-,-,-,25,수('2018),국립수산과학원
N000008-70-06,가다랑어-통조림(기름담금),"통영,알래스카산",6월,수산가공품,100,g,209,64.9,20,13.1,0.3,-,46,19.5,수('2018),국립수산과학원
N000009-70-06,가다랑어-포,"통영,알래스카산",6월,수산가공품,100,g,372,18,69.3,7.7,1.6,-,16,66.6,수('2018),국립수산과학원
N000010-ZZ-AVG,가다랑어-혈합육,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000010-33-11,가다랑어-혈합육,부산,11월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000010-33-04,가다랑어-혈합육,부산,4월,어류,100,g,-,-,23.5,-,-,-,-,22.9,수('2018),국립수산과학원
N000011-45-06,가라지,여수,6월,어류,100,g,78,81.5,14.8,1.3,0.7,-,35,-,수('2018),국립수산과학원
N000012-33-02,가래상어,부산,2월,어류,100,g,99,75.5,22.2,0.5,0.1,-,59,-,수('2018),국립수산과학원
N000013-80-AVG,가무락조개,강화,평균,패류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000013-79-AVG,가무락조개,강화도,평균,패류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000013-33-10,가무락조개,부산,10월,패류,100,g,77,79.9,14.1,0.6,2.8,0,54,-,수('2018),국립수산과학원
N000013-33-07,가무락조개,부산,7월,패류,100,g,-,-,12,-,-,-,-,10.6,수('2018),국립수산과학원
N000014-33-11,가물치,부산,11월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000014-33-07,가물치,부산,7월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000014-33-03,가물치,부산,3월,어류,100,g,-,-,20,-,-,-,-,19.3,수('2018),국립수산과학원
N000014-26-AVG,가물치,대전,평균,어류,100,g,86,79.6,18.2,0.8,0.3,0,71,-,수('2018),국립수산과학원
N000015-33-06,가숭어,부산,6월,어류,100,g,-,-,18.5,-,-,-,-,18.4,수('2018),국립수산과학원
N000016-33-08,가시망둑,부산,8월,어류,100,g,101,75.4,22.4,0.7,0.001,0,46,-,수('2018),국립수산과학원
N000017-33-05,가시발새우,부산,5월,갑각류,100,g,71,81.7,15.2,0.5,0.6,-,196,12.2,수('2018),국립수산과학원
N000018-ZZ-AVG,가시베도라치,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000018-72-05,가시베도라치,포항,5월,어류,100,g,85,80.7,15.7,1.6,0.8,-,36,16.1,수('2018),국립수산과학원
N000019-33-10,가재,부산,10월,갑각류,100,g,126,74.1,15.5,5.1,3,0,230,-,수('2018),국립수산과학원
N000020-33-04,각시가자미,부산,4월,어류,100,g,84,80.6,16.8,1.4,0.001,0,44,-,수('2018),국립수산과학원
N000021-33-07,각시돔,부산,7월,어류,100,g,90,77.7,20.1,0.6,0.001,0,46,-,수('2018),국립수산과학원
N000022-45-06,각시서대,여수,6월,어류,100,g,95,78.2,18.4,1.8,0.2,-,50,-,수('2018),국립수산과학원
N000022-02-08,각시서대,거제,8월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000023-76-03,각시수랑,사천,3월,패류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000023-33-05,각시수랑,부산,5월,패류,100,g,70,80,15,0.3,0.9,-,29,-,수('2018),국립수산과학원
N000024-33-10,각시흰새우,부산,10월,갑각류,100,g,85,77.8,15.7,1.6,1,0,1341,14,수('2018),국립수산과학원
N000025-72-AVG,갈가자미,포항,평균,어류,100,g,90,79.1,18.3,1.3,0.2,-,22,-,수('2018),국립수산과학원
N000026-73-06,갈고리흰오징어,포항(독도연),6월,두족류,100,g,-,-,15.3,-,-,-,-,10.5,수('2018),국립수산과학원
N000026-28-05,갈고리흰오징어,동해,5월,두족류,100,g,72,81.6,15,0.6,1,0,18,-,수('2018),국립수산과학원
N000027-73-06,갈고리흰오징어-근육,포항(독도연),6월,두족류,100,g,-,-,13.4,-,-,-,-,12.6,수('2018),국립수산과학원
N000028-ZZ-AVG,갈래곰보,전국(대표),평균,해조류,100,g,12,93.5,0.9,0.2,4.3,0.3,79,-,수('2018),국립수산과학원
N000028-59-AVG,갈래곰보,제주,평균,해조류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000028-59-02,갈래곰보,제주,2월,해조류,100,g,-,-,16.6,-,-,-,-,15.4,수('2018),국립수산과학원
N000028-53-AVG,갈래곰보,완도,평균,해조류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000029-33-05,갈색고리돼지고둥,부산,5월,패류,100,g,92,76.9,16.1,0.7,4.3,-,419,-,수('2018),국립수산과학원
N000030-33-05,갈색띠매물고둥,부산,5월,패류,100,g,78,79.2,15.1,0.2,3,-,36,-,수('2018),국립수산과학원
N000030-33-04,갈색띠매물고둥,부산,4월,패류,100,g,-,-,17.5,-,-,-,-,14.7,수('2018),국립수산과학원
N000031-ZZ-AVG,갈전갱이,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000031-89-03,갈전갱이,남해서부-EEZ(244),3월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000031-33-03,갈전갱이,부산,3월,어류,100,g,111,76,19.6,3,0.1,0,49,19.8,수('2018),국립수산과학원
N000032-ZZ-AVG,갈치,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000032-55-AVG,갈치,인천,평균,어류,100,g,149,72.7,18.5,7.5,0.1,0,46,-,수('2018),국립수산과학원
N000032-33-12,갈치,부산,12월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000032-33-06,갈치,부산,6월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000032-33-04,갈치,부산,4월,어류,100,g,-,-,18.2,-,-,-,-,16.8,수('2018),국립수산과학원
N000033-62-06,갈치-속젓갈,진주,6월,수산가공품,100,g,195,46.6,8.4,3.6,32.4,-,152,-,수('2018),국립수산과학원
N000034-ZZ-AVG,갈치-얼간품,전국(대표),평균,수산가공품,100,g,188,57.2,26.3,8.1,0.1,0,104,-,수('2018),국립수산과학원
N000035-70-06,갈치-젓갈,"통영,알래스카산",6월,수산가공품,100,g,176,49.5,8.6,3.2,28.2,-,328,7.9,수('2018),국립수산과학원
